Year,ECS,LCN,MEA,NAC,SAS,EAS,SSF
2010,20.9688877661965,70.3932662981317,39.4521806264201,30.7524460570081,43.3104530606295,20.0721140423937,115.176700970633
2011,20.4681440292032,69.2865255279987,40.0251119377137,28.5936623498961,40.6595839220271,20.588081729857,113.55241388591
2012,19.9614509560383,68.1723762870795,40.6309626496809,26.4355245365078,38.0078949169445,20.9557397491113,111.90814056992
2013,19.3561871781597,67.1531940114908,40.6395043735482,24.9141341936224,35.5715016377883,20.9115905223091,110.049607180282
2014,18.7726859069412,66.1339079981389,40.6017724457825,23.3992229635975,33.1144994870789,20.8373777809131,108.206223869023
2015,18.2086803071959,65.1129054186921,40.4988228269663,21.8899735487449,30.6349804819207,20.7927291470796,106.385944010197
2016,17.6388596528956,64.0671852799992,40.2426989322918,20.3731213412371,28.1174953037681,20.7303920630287,104.575840549692
2017,17.0886924276063,63.0300016489983,39.9706780005772,18.8554418232832,25.584972419587,20.6689835926567,102.788585175762
2018,16.6254477998961,62.0981418807705,39.7044596608902,17.6419501986564,24.5230468897055,20.6900901276043,101.220225106526
